IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.111.121,179,215,191,0
104.22.57.146,180,206,191,0
104.25.165.209,175,217,191,0
104.25.85.29,175,212,191,0
104.22.38.215,169,223,191,0
104.25.166.222,184,206,191,0
104.24.215.192,180,207,191,0
172.67.107.177,175,204,191,0
104.27.109.56,179,207,192,0
104.24.174.246,176,214,192,0
104.22.59.173,179,212,192,0
104.25.200.242,177,224,192,0
104.20.7.162,181,200,192,0
104.24.20.29,182,202,192,0
104.25.174.57,181,202,192,0
104.24.54.160,179,207,192,0
104.22.12.249,178,233,192,0
104.24.65.150,176,200,192,0
104.27.3.223,178,219,192,0
104.24.253.73,179,202,192,0
104.27.121.120,178,202,192,0
104.27.68.79,179,213,192,0
104.25.230.149,177,218,192,0
104.27.203.103,174,217,192,0
104.25.27.23,173,259,192,0
172.67.106.160,181,209,192,0
104.26.1.51,174,215,192,0
104.27.89.215,180,214,192,0
104.25.203.172,182,207,192,0
172.67.53.50,176,219,192,0
104.24.41.206,186,197,192,0
104.24.22.99,177,211,192,0
104.27.8.223,174,211,192,0
104.24.244.206,178,218,192,0
172.67.71.249,175,213,192,0
172.67.23.135,180,207,192,0
104.27.205.138,182,202,192,0
104.25.237.116,181,205,192,0
104.27.52.224,177,242,192,0
104.26.12.229,178,208,192,0
172.67.108.159,182,208,192,0
104.23.126.56,175,219,192,0
172.67.42.128,175,214,192,0
104.27.10.137,186,204,192,0
172.67.59.15,178,204,192,0
104.25.120.221,176,216,192,0
104.20.4.157,179,204,192,0
104.25.202.30,173,217,193,0
104.23.104.91,182,199,193,0
104.26.14.43,180,204,193,0
172.67.65.159,184,222,193,0
104.27.44.210,181,211,193,0
104.25.167.121,175,217,193,0
104.24.129.19,184,203,193,0
172.67.33.120,187,198,193,0
172.67.19.77,182,211,193,0
104.24.228.49,169,213,193,0
104.27.200.117,176,210,193,0
104.23.100.88,182,206,193,0
104.24.242.124,183,214,193,0
104.24.225.183,182,209,193,0
162.159.142.20,178,213,193,0
172.67.102.184,178,217,193,0
104.24.90.172,183,204,193,0
104.24.218.0,186,199,193,0
104.27.57.99,183,203,193,0
104.25.216.66,179,218,193,0
104.25.147.229,183,222,193,0
104.27.61.5,168,306,193,0
104.25.42.109,168,220,193,0
104.24.181.49,183,216,193,0
104.27.41.214,183,200,193,0
172.67.50.92,179,220,193,0
104.22.65.120,185,206,193,0
104.27.59.229,183,204,193,0
104.25.8.192,183,204,193,0
104.24.56.115,177,217,193,0
104.22.18.61,184,205,193,0
104.27.94.83,176,219,193,0
172.67.11.134,181,217,193,0
172.67.115.142,178,238,193,0
104.27.91.219,187,201,193,0
104.24.43.246,183,203,193,0
104.25.14.173,179,207,193,0
172.67.75.2,180,204,193,0
104.27.12.239,186,206,193,0
172.67.20.54,177,213,193,0
104.27.49.211,186,204,193,0
104.25.248.243,177,230,193,0
104.25.5.130,181,216,193,0
104.24.208.194,180,214,193,0
104.23.139.87,184,226,193,0
172.67.109.224,174,215,193,0
104.24.199.43,187,211,193,0
104.25.211.124,180,211,193,0
162.159.133.78,184,219,193,0
104.22.61.141,182,220,194,0
104.24.220.104,180,212,194,0
104.24.158.46,180,216,194,0
104.23.119.19,171,220,194,0
104.24.139.3,184,207,194,0
104.27.122.78,180,221,194,0
172.67.54.39,181,245,194,0
104.27.54.46,176,225,194,0
104.25.253.174,173,234,194,0
104.27.24.126,182,225,194,0
104.24.154.53,180,274,194,0
104.20.8.127,182,204,194,0
104.24.180.130,177,212,194,0
104.25.52.204,185,210,194,0
104.24.223.230,182,220,194,0
172.67.48.73,169,261,194,0
104.20.12.220,183,201,194,0
172.67.32.34,181,212,194,0
104.27.198.12,180,219,194,0
104.22.23.135,188,203,194,0
104.22.14.26,182,215,194,0
104.27.81.74,179,218,194,0
104.25.74.86,184,204,194,0
104.25.199.81,180,220,194,0
104.22.5.73,176,226,194,0
104.25.62.3,183,215,194,0
104.23.112.112,186,211,194,0
104.27.42.62,180,205,194,0
172.67.73.45,181,210,194,0
104.25.239.19,179,207,194,0
104.22.46.70,174,212,194,0
104.25.204.30,180,213,194,0
104.22.43.137,177,213,194,0
104.24.39.149,182,207,194,0
172.67.69.176,176,212,194,0
104.24.167.123,174,224,194,0
104.27.127.30,179,216,194,0
104.27.29.243,178,224,194,0
104.25.9.236,180,213,194,0
104.27.107.142,185,205,194,0
104.24.10.200,183,218,194,0
104.25.23.219,183,213,194,0
162.159.141.142,187,199,194,0
104.24.230.157,180,214,195,0
104.22.9.167,185,218,195,0
104.25.93.230,188,200,195,0
104.20.10.221,174,213,195,0
104.24.71.240,183,206,195,0
104.25.97.44,183,220,195,0
172.67.64.127,182,219,195,0
104.20.6.58,180,227,195,0
104.27.48.91,179,205,195,0
104.25.7.24,183,215,195,0
104.25.106.139,183,211,195,0
